Ensembl	Gene	Synonym	Description	Protein.class	Evidence	HPA.evidence	ENTREZID	Gene.name.HPA	myeloid DCStep
ENSG00000197872	CYRIA	 CYRI-A, DKFZP566A1524, FAM49A, FLJ11080,	"CYFIP related Rac1 interactor A"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	81553	CYRIA	DCHighExpr
ENSG00000197928	ZNF677	 MGC48625,	"Zinc finger protein 677"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	342926	ZNF677	TF
ENSG00000197930	ERO1A	 ERO1-alpha, Ero1alpha, ERO1L,	"Endoplasmic reticulum oxidoreductase 1 alpha"	"Plasma proteins, Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	30001	ERO1A	CancerDExpr
ENSG00000197933	ZNF823	 HSZFP36,	"Zinc finger protein 823"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	55552	ZNF823	TF
ENSG00000197937	ZNF347	 ZNF1111,	"Zinc finger protein 347"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	84671	ZNF347	TF
ENSG00000197943	PLCG2	 ,	"Phospholipase C gamma 2"	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	5336	PLCG2	FunctionGene
ENSG00000197951	ZNF71	 Cos26, EZFIT,	"Zinc finger protein 71"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	58491	ZNF71	TF
ENSG00000197961	ZNF121	 D19S204, ZHC32, ZNF20,	"Zinc finger protein 121"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	7675	ZNF121	TF
ENSG00000197971	MBP	 ,	"Myelin basic protein"	"Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	4155	MBP	DCHighExpr
ENSG00000198001	IRAK4	 NY-REN-64,	"Interleukin 1 receptor associated kinase 4"	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51135	IRAK4	DCHighExpr
ENSG00000198018	ENTPD7	 FLJ30978, LALP1,	"Ectonucleoside triphosphate diphosphohydrolase 7"	"Enzymes, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	57089	ENTPD7	DCHighExpr
ENSG00000198087	CD2AP	 CMS,	"CD2 associated protein"	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	23607	CD2AP	DCHighExpr
ENSG00000198105	ZNF248	 bA162G10.3,	"Zinc finger protein 248"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	57209	ZNF248	TF
ENSG00000198131	ZNF544	 AF020591,	"Zinc finger protein 544"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	27300	ZNF544	TF
ENSG00000198146	ZNF770	 FLJ20582, PRO1914,	"Zinc finger protein 770"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	54989	ZNF770	TF,DCHighExpr
ENSG00000198160	MIER1	 hMI-ER1, KIAA1610, MI-ER1,	"MIER1 transcriptional regulator"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	57708	MIER1	DCHighExpr
ENSG00000198178	CLEC4C	 BDCA2, CD303, CLECSF11, CLECSF7, DLEC, HECL,	"C-type lectin domain family 4 member C"	"CD markers, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	170482	CLEC4C	DCHighExpr
ENSG00000198189	HSD17B11	 17-BETA-HSD11, 17-BETA-HSDXI, DHRS8, PAN1B, RetSDR2, SDR16C2,	"Hydroxysteroid 17-beta dehydrogenase 11"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51170	HSD17B11	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000198223	CSF2RA	 alphaGMR, CD116, CSF2R,	"Colony stimulating factor 2 receptor subunit alpha"	"Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	1438	CSF2RA	TopGeneInFirstStep,CancerDExpr,FunctionGene,DCHighExpr
ENSG00000198246	SLC29A3	 ENT3, FLJ11160,	"Solute carrier family 29 member 3"	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	55315	SLC29A3	FunctionGene
ENSG00000198265	HELZ	 DHRC, HUMORF5, KIAA0054,	"Helicase with zinc finger"	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	9931	HELZ	DCHighExpr
ENSG00000198346	ZNF813	 FLJ16542,	"Zinc finger protein 813"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	126017	ZNF813	TF
ENSG00000198355	PIM3	 ,	"Pim-3 proto-oncogene, serine/threonine kinase"	"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	415116	PIM3	CancerDExpr,DCHighExpr
ENSG00000198363	ASPH	 BAH, CASQ2BP1, HAAH, JCTN,	"Aspartate beta-hydroxylase"	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	444	ASPH	DCHighExpr
ENSG00000198382	UVRAG	 VPS38,	"UV radiation resistance associated"	"Disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7405	UVRAG	DCHighExpr
ENSG00000198393	ZNF26	 FLJ20755, KOX20,	"Zinc finger protein 26"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	7574	ZNF26	TF
ENSG00000198399	ITSN2	 KIAA1256, PRO2015, SH3D1B, SH3P18, SWA, SWAP,	"Intersectin 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	50618	ITSN2	DCHighExpr
ENSG00000198431	TXNRD1	 GRIM-12, Trxr1, TXNR,	"Thioredoxin reductase 1"	"Cancer-related genes, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7296	TXNRD1	DCHighExpr
ENSG00000198453	ZNF568	 DKFZp686B0797,	"Zinc finger protein 568"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	374900	ZNF568	TF
ENSG00000198464	ZNF480	 MGC32104,	"Zinc finger protein 480"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	147657	ZNF480	TF
ENSG00000198482	ZNF808	 ,	"Zinc finger protein 808"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	388558	ZNF808	TF
ENSG00000198492	YTHDF2	 CAHL, HGRG8, NY-REN-2,	"YTH N6-methyladenosine RNA binding protein 2"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51441	YTHDF2	TopGeneInFirstStep,DCHighExpr
ENSG00000198502	HLA-DRB5	 ,	"Major histocompatibility complex, class II, DR beta 5"	"Human disease related genes, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	3127	HLA-DRB5	CancerDExpr,FunctionGene,DCHighExpr
ENSG00000198521	ZNF43	 HTF6, KOX27, ZNF39L1,	"Zinc finger protein 43"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	7594	ZNF43	TF
ENSG00000198538	ZNF28	 DKFZp781D0275, KOX24,	"Zinc finger protein 28"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	7576	ZNF28	TF
ENSG00000198551	ZNF627	 FLJ90365,	"Zinc finger protein 627"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	199692	ZNF627	TF
ENSG00000198556	ZNF789	 ,	"Zinc finger protein 789"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	285989	ZNF789	TF
ENSG00000198585	NUDT16	 FLJ31265,	"Nudix hydrolase 16"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	131870	NUDT16	CancerDExpr
ENSG00000198586	TLK1	 KIAA0137, PKU-BETA,	"Tousled like kinase 1"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9874	TLK1	DCHighExpr
ENSG00000198604	BAZ1A	 ACF1, hACF1, WALp1, WCRF180,	"Bromodomain adjacent to zinc finger domain 1A"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	11177	BAZ1A	DCHighExpr
ENSG00000198625	MDM4	 HDMX, MDMX,	"MDM4 regulator of p53"	"Cancer-related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	4194	MDM4	DCHighExpr
ENSG00000198692	EIF1AY	 ,	"Eukaryotic translation initiation factor 1A Y-linked"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9086	EIF1AY	DCHighExpr
ENSG00000198695	MT-ND6	 MTND6, NAD6, ND6,	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	4541	MT-ND6	TopGeneInFirstStep,DCHighExpr
ENSG00000198712	MT-CO2	 CO2, COX2, MTCO2,	"Mitochondrially encoded cytochrome c oxidase II"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	4513	MT-CO2	TopGeneInFirstStep,DCHighExpr
ENSG00000198715	GLMP	 C1orf85, MGC31963, NCU-G1,	"Glycosylated lysosomal membrane protein"	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	112770	GLMP	TF
ENSG00000198727	MT-CYB	 COB, CYTB, MTCYB, UQCR3,	"Mitochondrially encoded cytochrome b"	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	4519	MT-CYB	TopGeneInFirstStep,DCHighExpr
ENSG00000198736	MSRB1	 SelR, SelX, SepR, SEPX1,	"Methionine sulfoxide reductase B1"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51734	MSRB1	TopGeneInFirstStep
ENSG00000198740	ZNF652	 KIAA0924,	"Zinc finger protein 652"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	22834	ZNF652	TF,DCHighExpr
ENSG00000198763	MT-ND2	 MTND2, NAD2, ND2,	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	4536	MT-ND2	TopGeneInFirstStep,DCHighExpr
ENSG00000198771	RCSD1	 CapZIP, MGC21854, MK2S4,	"RCSD domain containing 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	92241	RCSD1	TopGeneInFirstStep,DCHighExpr
ENSG00000198786	MT-ND5	 MTND5, NAD5, ND5,	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	4540	MT-ND5	TopGeneInFirstStep,DCHighExpr
ENSG00000198804	MT-CO1	 COI, COX1, MTCO1,	"Mitochondrially encoded cytochrome c oxidase I"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	4512	MT-CO1	TopGeneInFirstStep,DCHighExpr
ENSG00000198814	GK	 GK1, GKD,	"Glycerol kinase"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	2710	GK	CancerDExpr
ENSG00000198815	FOXJ3	 KIAA1041,	"Forkhead box J3"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	22887	FOXJ3	TF,DCHighExpr
ENSG00000198821	CD247	 CD3H, CD3Q, CD3Z,	"CD247 molecule"	"CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	919	CD247	FunctionGene
ENSG00000198824	CHAMP1	 C13orf8, CAMP, CHAMP, ZNF828,	"Chromosome alignment maintaining phosphoprotein 1"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	283489	CHAMP1	TF
ENSG00000198839	ZNF277	 NRIF4, ZNF277P,	"Zinc finger protein 277"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	11179	ZNF277	TF
ENSG00000198840	MT-ND3	 MTND3, NAD3, ND3,	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	4537	MT-ND3	TopGeneInFirstStep,DCHighExpr
ENSG00000198848	CES1	 CEH, CES1A1, CES1A2, CES2, HMSE, HMSE1, SES1,	"Carboxylesterase 1"	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	1066	CES1	TopGeneInFirstStep
ENSG00000198886	MT-ND4	 LHON, MTND4, NAD4, ND4,	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	4538	MT-ND4	TopGeneInFirstStep,DCHighExpr
ENSG00000198888	MT-ND1	 MTND1, NAD1, ND1,	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1"	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	4535	MT-ND1	TopGeneInFirstStep,DCHighExpr
ENSG00000198898	CAPZA2	 CAPPA2, CAPZ,	"Capping actin protein of muscle Z-line subunit alpha 2"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	830	CAPZA2	CancerDExpr,DCHighExpr
ENSG00000198899	MT-ATP6	 ATP6, ATPase-6, MTATP6, RP, Su6m,	"Mitochondrially encoded ATP synthase membrane subunit 6"	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	4508	MT-ATP6	TopGeneInFirstStep,DCHighExpr
ENSG00000198938	MT-CO3	 CO3, COIII, COX3, MTCO3,	"Mitochondrially encoded cytochrome c oxidase III"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	4514	MT-CO3	TopGeneInFirstStep,DCHighExpr
ENSG00000198945	L3MBTL3	 KIAA1798,	"L3MBTL histone methyl-lysine binding protein 3"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	84456	L3MBTL3	TF
ENSG00000198951	NAGA	 D22S674,	Alpha-N-acetylgalactosaminidase	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	4668	NAGA	TopGeneInFirstStep,CancerDExpr
ENSG00000198961	PJA2	 KIAA0438, Neurodap1, RNF131,	"Praja ring finger ubiquitin ligase 2"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9867	PJA2	DCHighExpr
ENSG00000203326	ZNF525	 KIAA1979,	"Zinc finger protein 525"	"Predicted intracellular proteins"	"Evidence at transcript level"	"Evidence at transcript level"	170958	ZNF525	TF
ENSG00000203705	TATDN3	 ,	"TatD DNase domain containing 3"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	128387	TATDN3	DCHighExpr
ENSG00000203747	FCGR3A	 CD16, CD16a, FCG3, FCGR3,	"Fc fragment of IgG receptor IIIa"	"CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	2214	FCGR3A	TopGeneInFirstStep,CancerDExpr,FunctionGene
ENSG00000204103	MAFB	 KRML,	"MAF bZIP transcription factor B"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	9935	MAFB	CancerDExpr,TF
ENSG00000204138	PHACTR4	 FLJ13171, PPP1R124,	"Phosphatase and actin regulator 4"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	65979	PHACTR4	DCHighExpr
ENSG00000204209	DAXX	 DAP6,	"Death domain associated protein"	"Cancer-related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	1616	DAXX	FunctionGene
ENSG00000204252	HLA-DOA	 HLA-D0-alpha, HLA-DNA, HLA-DZA,	"Major histocompatibility complex, class II, DO alpha"	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	3111	HLA-DOA	CancerDExpr,FunctionGene,DCHighExpr
ENSG00000204256	BRD2	 BRD2-IT1, D6S113E, FSRG1, KIAA9001, NAT, RING3,	"Bromodomain containing 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	6046	BRD2	DCHighExpr
ENSG00000204257	HLA-DMA	 D6S222E, RING6,	"Major histocompatibility complex, class II, DM alpha"	"Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	3108	HLA-DMA	CancerDExpr,FunctionGene,DCHighExpr
ENSG00000204264	PSMB8	 beta5i, D6S216E, LMP7, PSMB5i, RING10,	"Proteasome 20S subunit beta 8"	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5696	PSMB8	DCHighExpr
ENSG00000204272	NBDY	 LINC01420, NoBody,	"Negative regulator of P-body association"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	550643	NBDY	TopGeneInFirstStep,DCHighExpr
ENSG00000204287	HLA-DRA	 HLA-DRA1,	"Major histocompatibility complex, class II, DR alpha"	"Plasma proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	3122	HLA-DRA	CancerDExpr,FunctionGene,DCHighExpr
ENSG00000204308	RNF5	 G16, NG2, RING5, RMA1,	"Ring finger protein 5"	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	6048	RNF5	DCHighExpr
ENSG00000204472	AIF1	 AIF-1, Em:AF129756.17, IBA1, IRT-1,	"Allograft inflammatory factor 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	199	AIF1	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000204482	LST1	 B144, D6S49E, LST-1,	"Leukocyte specific transcript 1"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	7940	LST1	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000204514	ZNF814	 ,	"Zinc finger protein 814"	"Cancer-related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	730051	ZNF814	TF
ENSG00000204519	ZNF551	 DKFZp686H1038,	"Zinc finger protein 551"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	90233	ZNF551	TF
ENSG00000204577	LILRB3	 CD85a, HL9, ILT5, LIR-3, LIR3, PIR-B, PIRB,	"Leukocyte immunoglobulin like receptor B3"	"CD markers, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	11025	LILRB3	CancerDExpr
ENSG00000204604	ZNF468	 ,	"Zinc finger protein 468"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	90333	ZNF468	TF
ENSG00000204611	ZNF616	 MGC45556,	"Zinc finger protein 616"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	90317	ZNF616	TF
ENSG00000204634	TBC1D8	 AD3, GRAMD8, HBLP1, VRP,	"TBC1 domain family member 8"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	11138	TBC1D8	DCHighExpr
ENSG00000204642	HLA-F	 ,	"Major histocompatibility complex, class I, F"	"Plasma proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	3134	HLA-F	FunctionGene,DCHighExpr
ENSG00000204713	TRIM27	 RFP, RNF76,	"Tripartite motif containing 27"	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	5987	TRIM27	FunctionGene
ENSG00000204859	ZBTB48	 HKR3, TZAP, ZNF855,	"Zinc finger and BTB domain containing 48"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	3104	ZBTB48	TF
ENSG00000205155	PSENEN	 PEN2,	"Presenilin enhancer, gamma-secretase subunit"	"Disease related genes, Human disease related genes, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	55851	PSENEN	TopGeneInFirstStep,DCHighExpr
ENSG00000205220	PSMB10	 beta2i, LMP10, MECL1, MGC1665,	"Proteasome 20S subunit beta 10"	"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5699	PSMB10	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000205268	PDE7A	 HCP1,	"Phosphodiesterase 7A"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	5150	PDE7A	DCHighExpr
ENSG00000205302	SNX2	 ,	"Sorting nexin 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	6643	SNX2	CancerDExpr
ENSG00000205352	PRR13	 DKFZP564J157, FLJ23818,	"Proline rich 13"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	54458	PRR13	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000205581	HMGN1	 FLJ27265, FLJ31471, HMG14, MGC104230, MGC117425,	"High mobility group nucleosome binding domain 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	3150	HMGN1	TopGeneInFirstStep,DCHighExpr
ENSG00000211592	IGKC	 HCAK1,	"Immunoglobulin kappa constant"	"Immunoglobulin genes, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at transcript level"	"Evidence at transcript level"	3514	IGKC	FunctionGene,DCHighExpr
ENSG00000211677	IGLC2	 IGLC,	"Immunoglobulin lambda constant 2"	"Immunoglobulin genes, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	3538	IGLC2	FunctionGene
ENSG00000211679	IGLC3	 IGLC,	"Immunoglobulin lambda constant 3 (Kern-Oz+ marker)"	"Immunoglobulin genes, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	3539	IGLC3	FunctionGene
ENSG00000211751	TRBC1	 BV05S1J2.2, TCRBC1,	"T cell receptor beta constant 1"	"Predicted membrane proteins, T-cell receptor genes"	"Evidence at transcript level"	"Evidence at transcript level"	28639	TRBC1	FunctionGene
ENSG00000211899	IGHM	 ,	"Immunoglobulin heavy constant mu"	"Disease related genes, Immunoglobulin genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	3507	IGHM	FunctionGene,DCHighExpr
ENSG00000212907	MT-ND4L	 MTND4L, NAD4L, ND4L,	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	4539	MT-ND4L	TopGeneInFirstStep,DCHighExpr
ENSG00000213015	ZNF580	 ,	"Zinc finger protein 580"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	51157	ZNF580	TF
ENSG00000213020	ZNF611	 MGC5384,	"Zinc finger protein 611"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	81856	ZNF611	TF
ENSG00000213064	SFT2D2	 dJ747L4.C1.2, UNQ512,	"SFT2 domain containing 2"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	375035	SFT2D2	DCHighExpr
ENSG00000213096	ZNF254	 BMZF-5, HD-ZNF1, ZNF539, ZNF91L,	"Zinc finger protein 254"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	9534	ZNF254	TF
ENSG00000213145	CRIP1	 CRIP,	"Cysteine rich protein 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	1396	CRIP1	TopGeneInFirstStep,DCHighExpr
ENSG00000213281	NRAS	 N-ras,	"NRAS proto-oncogene, GTPase"	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	4893	NRAS	FunctionGene
ENSG00000213341	CHUK	 IkBKA, IKK-alpha, IKK1, IKKA, NFKBIKA, TCF16,	"Component of inhibitor of nuclear factor kappa B kinase complex"	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	1147	CHUK	FunctionGene
ENSG00000213347	MXD3	 bHLHc13, MAD3,	"MAX dimerization protein 3"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	83463	MXD3	TF
ENSG00000213614	HEXA	 ,	"Hexosaminidase subunit alpha"	"Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	3073	HEXA	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000213639	PPP1CB	 MP, PP-1B, PP1B, PP1beta, PP1c, PPP1beta,	"Protein phosphatase 1 catalytic subunit beta"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5500	PPP1CB	DCHighExpr
